,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.02  -0.10 ,,1.22,-0.1,1.27 -0.20 ,,1.03 -0.50 ,,1.02 -0.10 ,,1.02 -0.30 ,,0.96 -0.30 ,,1.02,-0.3,,,,,,
,1.02  -0.10 ,,1.24,-0.1,1.29 0.00 ,,1.02 -0.20 ,,1.02 -0.20 ,,1.03 -0.10 ,,0.98 0.20 ,,1.02,-0.1,,,,,,
,1.02  0.00 ,,1.27,0,1.31 0.00 ,,1.02 -0.10 ,,1.02 -0.10 ,,1.03 -0.20 ,,1.00 -0.10 ,,1.02,-0.1,,,,,,code
,1.02 -0.30 ,,1.28,-0.1,1.33 -0.20 ,,1.02 -0.20 ,,1.02 -0.10 ,,1.02 -0.10 ,,1.01 0.00 ,,1.03,-0.1,,,,,,
,1.02 -0.20 ,,1.31 -0.30 ,,1.36 -0.50 ,,1.02 0.00 ,,1.02 0.00 ,,1.02 -0.20 ,,1.03 0.00 ,,1.03,0,,,,,, // Call libraries required for external breakout boards and communications.
,1.02 -0.20 ,,1.33 -0.20 ,,1.38 -0.10 ,,1.02 -0.20 ,,1.02 0.00 ,,1.02 -0.20 ,,1.04 0.40 ,,1.03,0.2,,,,,,#include <Wire.h>
,1.02 -0.50 ,,1.35 -0.20 ,,1.40 -0.10 ,,1.03 -0.30 ,,1.02 -0.40 ,,1.02 -0.20 ,,1.06 0.40 ,,1.03,0,,,,,,#include <SPI.h>
,1.02 -0.20 ,,1.38 -0.10 ,-0.1,1.43 -0.10 ,,1.02 -0.30 ,,1.02 -0.30 ,,1.02 0.00 ,,1.07 0.50 ,,1.04,-0.1,,,,,,#include <Adafruit_MCP4725.h> // DAC library
,1.02 -0.50 ,,1.40 -0.40 ,,1.45 -0.10 ,,1.02 -0.30 ,,1.02 -0.20 ,,1.02 0.10 ,,1.09 0.80 ,,1.05,-0.3,,,,,,#include <Adafruit_INA219.h> // INA219 current sensor library
,1.02 0.10 ,,1.43 -0.20 ,,1.47 -0.20 ,,1.02 -0.10 ,,1.02 0.00 ,,1.02 -0.30 ,,1.10 1.20 ,,1.06,-0.3,,,,,,
